City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,26.68,48,75,1.79,US,1689791004
1,guiyang,26.5833,106.7167,20.27,100,20,1.0,CN,1689791353
2,ritchie,-29.038,24.6028,5.56,34,0,4.97,ZA,1689791353
3,papatowai,-46.5619,169.4708,5.77,79,100,3.27,NZ,1689790995
4,detroit lakes,46.8172,-95.8453,28.03,40,20,5.14,US,1689791355
5,hermanus,-34.4187,19.2345,6.56,77,41,5.0,ZA,1689791138
6,hashtrud,37.4779,47.0508,22.1,45,6,2.74,IR,1689791356
7,blackmans bay,-43.0167,147.3167,6.52,72,81,5.82,AU,1689791005
8,baganga,7.5739,126.56,25.14,85,98,1.55,PH,1689791357
9,port-aux-francais,-49.35,70.2167,3.05,78,97,8.48,TF,1689791025
10,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,2.0,RU,1689791095
11,kamaishi,39.2667,141.8833,20.8,95,96,3.27,JP,1689791358
12,edinburgh of the seven seas,-37.0676,-12.3116,14.09,86,100,8.81,SH,1689791008
13,yuzhno-kurilsk,44.0306,145.8556,14.29,97,83,1.96,RU,1689791143
14,port elizabeth,-33.918,25.5701,9.5,87,100,1.54,ZA,1689790809
15,leava,-14.3,-178.1667,26.96,80,84,8.54,WF,1689791360
16,wailua homesteads,22.0669,-159.378,26.44,84,100,9.77,US,1689791021
17,port douglas,-16.4833,145.4667,21.39,80,69,3.89,AU,1689791361
18,bethel,41.3712,-73.414,26.61,60,75,3.09,US,1689791041
19,puerto natales,-51.7236,-72.4875,0.91,68,100,0.14,CL,1689790709
20,adamstown,-25.066,-130.1015,22.25,86,75,9.42,PN,1689791002
21,labytnangi,66.6572,66.4183,19.36,76,100,2.65,RU,1689791366
22,yellowknife,62.456,-114.3525,24.29,53,75,2.57,CA,1689790999
23,margaret river,-33.95,115.0667,12.14,69,95,5.64,AU,1689791116
24,carnarvon,-24.8667,113.6333,14.5,55,8,9.25,AU,1689791019
25,bilibino,68.0546,166.4372,18.05,79,21,0.65,RU,1689790994
26,udachny,66.4167,112.4,14.03,78,49,4.08,RU,1689791140
27,avarua,-21.2078,-159.775,21.03,56,40,3.09,CK,1689791036
28,keflavik,64.0049,-22.5624,13.24,71,40,5.66,IS,1689791370
29,pajara,28.3504,-14.1076,24.73,74,10,7.37,ES,1689791371
30,stanley,54.868,-1.6985,14.85,82,20,1.54,GB,1689790771
31,ust-nera,64.5667,143.2,14.82,76,32,1.91,RU,1689791030
32,howard springs,-12.497,131.047,19.95,42,30,2.52,AU,1689791372
33,puerto ayora,-0.7393,-90.3518,30.98,91,37,2.24,EC,1689791012
34,enewetak,11.3474,162.3373,28.51,76,71,6.02,MH,1689791157
35,qaqortoq,60.7167,-46.0333,8.11,95,100,1.99,GL,1689791066
36,port mathurin,-19.6833,63.4167,23.51,72,8,11.17,MU,1689791038
37,ushuaia,-54.8,-68.3,4.81,65,20,3.09,AR,1689790892
